acronym,context,era,defined,name,description,alternatives
1G,/,CE,1980,First Generation,"The first generation of wireless telephone technology, which was analog in nature and had limited coverage and capacity.",
2G,/,CE,1991,Second Generation,"A standard for mobile telecommunications, superseding the original analog cellular networks (1G) and preceding 3G. It introduced digital encryption of conversations and data services, such as SMS and MMS.",
3G,/,CE,2001,Third Generation,"A standard for mobile telecommunications, superseding 2G and preceding 4G. It brought greater network capacity and internet services to mobile devices, enabling video calling and mobile broadband.",
4G,/,CE,2008,Fourth Generation,"A standard for mobile telecommunications, superseding 3G and preceding 5G.",
5G,/,CE,2018,Fifth Generation,"The fifth generation of mobile network technology, offering faster speeds and more reliable connections on smartphones and other devices.",
AC,/,CE,1902,Air Conditioning,"A system for controlling the humidity, ventilation, and temperature in a building.",Alternating Current
AD,/,CE,525,Anno Domini,"Latin phrase meaning 'In the year of our Lord', used in the Gregorian calendar to reference the years since the birth of Jesus Christ.",
ADA,/,CE,1990,Americans with Disabilities Act,US law that prohibits discrimination against individuals with disabilities in all areas of public life.,"After Death, CE"
AFC,/,CE,1970,American Football Conference,"One of the two conferences of the National Football League (NFL), the highest professional level of American football in the United States. This conference and its counterpart, the National Football Conference (NFC), currently contain 16 teams each, making up the 32 teams of the NFL.",
AI,/,CE,1956,Artificial Intelligence,"The simulation of human intelligence processes by machines, especially computer systems.",Artificial Insemination
AL,/,CE,1901,American League,"One of two leagues constituting Major League Baseball (MLB) in the United States and Canada. It was founded on January 28, 1901, in Ban Johnson's Ban Johnson's American League of Professional Baseball Clubs, with eight charter members.",Junior Circuit
AMOLED,/,CE,2008,Active-Matrix Organic Light-Emitting Diode,"A type of OLED display device technology which is used in smartphones, tablets, and televisions.",
ANL,/science/physics,CE,1946,Argonne National Laboratory,"A science and engineering research national laboratory operated by the University of Chicago Argonne LLC for the United States Department of Energy located near Lemont, Illinois, outside Chicago. It is the largest national laboratory by size and scope in the Midwest.",
AP,/,CE,1846,Associated Press,"A multinational non-profit news agency headquartered in New York City. The AP is owned by its contributing newspapers, radio, and television stations in the United States, all of which contribute stories to the AP and use material written by its staff journalists.","Access Point, Advanced Placement"
API,/,CE,2000,Application Programming Interface,A set of rules and protocols for building and interacting with software applications.,Active Pharmaceutical Ingredient
AR,/,CE,1990,Augmented Reality,An interactive experience of a real-world environment where objects in the real world are enhanced by computer-generated perceptual information.,
ASAP,/,CE,1955,As Soon As Possible,An abbreviation used to indicate that something should be done immediately.,
ASEAN,/,CE,1967,Association of Southeast Asian Nations,A regional intergovernmental organization comprising ten countries in Southeast Asia.,
ATF,/,CE,1972,"Bureau of Alcohol, Tobacco, Firearms and Explosives",A federal law enforcement organization within the United States Department of Justice.,
B2B,/,CE,1990,Business to Business,"A type of transaction that exists between businesses, such as one involving a manufacturer and wholesaler, or a wholesaler and a retailer.",
B2C,/,CE,1990,Business to Consumer,Business or transactions conducted directly between a company and consumers who are the end-users of its products or services.,
BC,/,BCE,525,Before Christ,A time designation used to indicate years before the estimated birth of Jesus in the Gregorian calendar.,BCE
BCE,/,CE,1970,Before Common Era,A secular alternative to the traditional BC (Before Christ).,BC
BNL,/science/physics,CE,1947,Brookhaven National Laboratory,"A multi-disciplinary laboratory with seven Nobel prizes to its credit, Brookhaven conducts research in the physical, biomedical, and environmental sciences, as well as in energy technologies.",
BRICS,/,CE,2001,"Brazil, Russia, India, China, South Africa",An acronym for an association of five major emerging national economies.,
CAPEX,/,CE,1980,Capital Expenditure,"Funds used by a company to acquire or upgrade physical assets such as property, buildings, an industrial plant, technology, or equipment.",
CBP,/,CE,2003,Customs and Border Protection,"The largest federal law enforcement agency of the U.S. Department of Homeland Security, charged with regulating and facilitating international trade, collecting import duties, and enforcing U.S. regulations.",
CCPA,/,CE,2018,California Consumer Privacy Act,"A state statute intended to enhance privacy rights and consumer protection for residents of California, United States.",
CDMA,/,CE,1995,Code Division Multiple Access,"A channel access method used by various radio communication technologies. It should not be confused with the mobile phone standards called cdmaOne, CDMA2000 (the 3G evolution of cdmaOne) and WCDMA (the 3G standard used by GSM carriers), which are often referred to as simply CDMA, and use CDMA as an underlying channel access method.",
CDO,/,CE,2000,Chief Data Officer,A corporate officer responsible for enterprise-wide governance and utilization of information as an asset.,
CE,/,CE,525,Common Era,"A term used in the Julian and Gregorian calendars to refer to the current era, an alternative to the use of AD (Anno Domini).",AD
CEO,/,CE,1970,Chief Executive Officer,"The highest-ranking executive in a company, whose primary responsibilities include making major corporate decisions and managing the overall operations and resources of a company.",
CERN,/science/physics,CE,1954,Conseil Européen pour la Recherche Nucléaire,"A European research organization that operates the largest particle physics laboratory in the world. Located in Geneva, Switzerland.",
CIA,/,CE,1947,Central Intelligence Agency,"A civilian foreign intelligence service of the federal government of the United States, tasked with gathering, processing, and analyzing national security information from around the world.",
CIO,/,CE,1980,Chief Information Officer,"An executive who oversees the information technology (IT) needs of a company including its data, related technologies, and support services.",
CISO,/,CE,2000,Chief Information Security Officer,"A senior-level executive responsible for developing and implementing an information security program, which includes procedures and policies designed to protect enterprise communications, systems and assets from both internal and external threats.",
CMO,/,CE,1990,Chief Marketing Officer,An executive who is in charge of developing and overseeing marketing and advertising plans of a business.,
COO,/,CE,1970,Chief Operating Officer,A senior executive tasked with overseeing the day-to-day administrative and operational functions of a business.,
CPC,/,CE,2000,Cost Per Click,A method of billing advertising space or marketing campaigns where the advertiser pays each time a user clicks on their ad.,
CPU,/,CE,1960,Central Processing Unit,The primary component of a computer that performs most of the processing inside the computer.,
CRM,/,CE,1990,Customer Relationship Management,A strategy for managing an organization's relationships and interactions with customers and potential customers.,
CSS,/,CE,1996,Cascading Style Sheets,A style sheet language used for describing the look and formatting of a document written in HTML or XML.,
CSV,/,CE,1970,Comma-Separated Values,"A simple file format used to store tabular data, such as a spreadsheet or database.",
CSV,/,CE,1972,Comma-Separated Values,"A delimited text file that uses a comma to separate values. Each line of the file is a data record. Each record consists of one or more fields, separated by commas. The use of the comma as a field separator is the source of the name for this file format.",
CTA,/,CE,2000,Call to Action,"An instruction to the audience designed to provoke an immediate response, usually using an imperative verb such as 'call now', 'find out more' or 'visit a store today'.",
CTO,/,CE,1980,Chief Technology Officer,An executive who is responsible for the management of an organization's research and development (R&D) and technological needs.,
CTR,/,CE,2000,Click Through Rate,"The ratio of users who click on a specific link to the number of total users who view a page, email, or advertisement.",
DC,/,CE,1800,District of Columbia,The capital of the United States. It is not a state and is under the direct jurisdiction of the federal government.,Direct Current
DEA,/,CE,1973,Drug Enforcement Administration,"A United States federal law enforcement agency under the Department of Justice, tasked with combating drug trafficking and distribution within the U.S.",
DESY,/science/physics,CE,1959,Deutsches Elektronen-Synchrotron,One of the world's leading accelerator centres. DESY is a member of the Helmholtz Association and receives its funding from the German Federal Ministry of Education and Research (BMBF) and the German federal states of Hamburg and Brandenburg.,
DHCP,/,CE,1993,Dynamic Host Configuration Protocol,A network management protocol used on Internet Protocol networks for automatically assigning IP addresses and other communication parameters to devices connected to the network.,
DHL,/,CE,1969,"Dalsey, Hillblom and Lynn","An international courier, parcel, and express mail service, which is a division of the German logistics company Deutsche Post DHL.",
DHS,/,CE,2002,Department of Homeland Security,"A cabinet department of the U.S. federal government with responsibilities in public security, roughly comparable to the interior or home ministries of other countries.",
DIY,/,CE,1950,Do It Yourself,"A method of building, modifying, or repairing things without the direct aid of experts or professionals.",
DL,/,CE,2010,Deep Learning,A subset of machine learning in artificial intelligence (AI) that has networks capable of learning unsupervised from data that is unstructured or unlabeled.,
DNA,/,CE,1953,Deoxyribonucleic Acid,"A molecule composed of two chains that coil around each other to form a double helix carrying genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses.",
DNS,/,CE,1983,Domain Name System,"A hierarchical and decentralized naming system for computers, services, or other resources connected to the Internet or a private network.",
DOD,/,CE,1947,Department of Defense,An executive branch department of the federal government of the United States charged with coordinating and supervising all agencies and functions of the government directly related to national security and the United States Armed Forces.,
DOJ,/,CE,1870,Department of Justice,"A federal executive department of the U.S. government, responsible for the enforcement of the law and administration of justice in the United States.",
e.g.,/,CE,1600,Exempli Gratia,A Latin phrase that means 'for example'. It is used to introduce one or more examples of something mentioned previously in the sentence and/or context.,For Example
EBITDA,/,CE,1980,"Earnings Before Interest, Taxes, Depreciation, and Amortization","A measure of a company's operating performance. Essentially, it's a way to evaluate a company's performance without having to factor in financing decisions, accounting decisions or tax environments.",
EDSAC,/,CE,1949,Electronic Delay Storage Automatic Calculator,"An early British computer. Inspired by John von Neumann's seminal First Draft of a Report on the EDVAC, the machine was constructed by Maurice Wilkes and his team at the University of Cambridge Mathematical Laboratory in England.",
EDVAC,/,CE,1951,Electronic Discrete Variable Automatic Computer,"One of the earliest electronic computers. Unlike its predecessor the ENIAC, it was binary rather than decimal, and was a stored-program computer.",
EEA,/,CE,1994,European Economic Area,"An international agreement which enables the extension of the European Union's single market to non-EU member parties. The EEA links the EU member states and three EFTA states (Iceland, Liechtenstein, and Norway) into an internal market governed by the same basic rules.",
ENIAC,/,CE,1946,Electronic Numerical Integrator and Computer,"The first general-purpose electronic digital computer. It was Turing-complete, digital, and capable of being reprogrammed to solve a full range of computing problems.",
EOR,/,CE,1946,Exclusive OR,"A logical operation that outputs true only when inputs differ (one is true, the other is false). It is symbolized by the prefix operator J and by the infix operators XOR, EOR, EXOR, ⊻, ⩒, ⩛, ⊕, ↮, and ≢.",
EPA,/,CE,1970,Environmental Protection Agency,An independent executive agency of the United States federal government tasked with environmental protection matters.,
EPS,/,CE,1980,Earnings Per Share,The portion of a company's profit allocated to each outstanding share of common stock. It serves as an indicator of a company's profitability.,
ERED,/,CE,1970,Electromagnetic Radiation Emitting Devices,"A category of devices that emit electromagnetic radiation, which can include everything from microwave ovens to cell phones to computer monitors. These devices are regulated for safety by various agencies worldwide.",
ERP,/,CE,1990,Enterprise Resource Planning,"A type of software that organizations use to manage day-to-day business activities such as accounting, procurement, project management, risk management and compliance, and supply chain operations.",
ETA,/,CE,1900,Estimated Time of Arrival,"The time when a ship, vehicle, aircraft, cargo, emergency service or computer file is expected to arrive at a certain place.",
etc.,/,CE,1600,Et Cetera,"A Latin phrase that means 'and other similar things', or 'and so forth'.",And So On
ETSI,/,CE,1988,European Telecommunications Standards Institute,"An independent, non-profit, standardization organization in the telecommunications industry in Europe, headquartered in Sophia-Antipolis, France. ETSI produces globally-applicable standards for Information and Communications Technologies (ICT), including fixed, mobile, radio, converged, broadcast and internet technologies.",
EU,/,CE,1993,European Union,"A political and economic union of 27 member states that are located primarily in Europe. It has an area of 4,233,255.3 km? and an estimated total population of about 447 million.",
EXOR,/,CE,1946,Exclusive OR,"A logical operation that outputs true only when inputs differ (one is true, the other is false). It is symbolized by the prefix operator J and by the infix operators XOR, EOR, EXOR, ⊻, ⩒, ⩛, ⊕, ↮, and ≢.",
FAQ,/,CE,1980,Frequently Asked Questions,"A list of questions and answers, all supposed to be commonly asked in some context, and pertaining to a particular topic. The format is commonly used on email mailing lists and other online forums, where certain common questions tend to recur.",
FBI,/,CE,1908,Federal Bureau of Investigation,"The domestic intelligence and security service of the United States and its principal federal law enforcement agency. Operating under the jurisdiction of the United States Department of Justice, the FBI is also a member of the U.S. Intelligence Community and reports to both the Attorney General and the Director of National Intelligence.",
FCC,/,CE,1934,Federal Communications Commission,"An independent agency of the United States government that regulates communications by radio, television, wire, satellite, and cable across the United States.",
FDA,/,CE,1906,Food and Drug Administration,"A federal agency of the Department of Health and Human Services. The FDA is responsible for protecting and promoting public health through the control and supervision of food safety, tobacco products, dietary supplements, prescription and over-the-counter pharmaceutical drugs (medications), vaccines, biopharmaceuticals, blood transfusions, medical devices, electromagnetic radiation emitting devices (ERED), cosmetics, animal foods & feed and veterinary products.",
FDMA,/,CE,1940,Frequency Division Multiple Access,"A channel access method used in multiple-access protocols as a channelization protocol. FDMA gives users an individual allocation of one or several frequency bands, allowing them to use the allocated radio spectrum without interfering with each other.",
FedEx,/,CE,1971,Federal Express,"An American multinational delivery services company headquartered in Memphis, Tennessee.",
Fermilab,/science/physics,CE,1967,Fermi National Accelerator Laboratory,"A United States Department of Energy national laboratory specializing in high-energy particle physics. Located in Batavia, Illinois, USA. Named after the physicist Enrico Fermi",
FTC,/,CE,1914,Federal Trade Commission,An independent agency of the United States government whose main goals are the promotion of consumer protection and the elimination and prevention of anticompetitive business practices.,
FTP,/,CE,1971,File Transfer Protocol,A standard network protocol used for the transfer of computer files between a client and server on a computer network.,
FYC,/,CE,1990,For Your Consideration,A phrase used in the entertainment industry to remind members of awards voting bodies to consider a particular work or person for an award.,
FYI,/,CE,1940,For Your Information,A common abbreviation of For Your Information,used in email
G20,/,CE,1999,Group of Twenty,An international forum for the governments and central bank governors from 19 countries and the European Union (EU).,
G7,/,CE,1975,Group of Seven,"An intergovernmental organization consisting of Canada, France, Germany, Italy, Japan, the United Kingdom, and the United States.",
GA,/,CE,2005,Google Analytics,A web analytics service offered by Google that tracks and reports website traffic.,
GDPR,/,CE,2018,General Data Protection Regulation,A regulation in EU law on data protection and privacy in the European Union (EU) and the European Economic Area (EEA).,
GIF,/,CE,1987,Graphics Interchange Format,A bitmap image format that was developed by a team at the online services provider CompuServe led by American computer scientist Steve Wilhite and released on 15 June 1987.,
GPU,/,CE,1980,Graphics Processing Unit,A specialized electronic circuit designed to rapidly manipulate and alter memory to accelerate the creation of images in a frame buffer intended for output to a display device.,
GSM,/,CE,1991,Global System for Mobile Communications,A standard developed by the European Telecommunications Standards Institute (ETSI) to describe the protocols for second-generation (2G) digital cellular networks used by mobile devices such as mobile phones and tablets. It became a global standard for mobile communications and was particularly dominant in Europe and Asia.,
GUI,/,CE,1981,Graphical User Interface,"A form of user interface that allows users to interact with electronic devices through graphical icons and audio indicator such as primary notation, instead of text-based user interfaces, typed command labels or text navigation.",Garment Underwear Item
HDD,/,CE,1956,Hard Disk Drive,A data storage device used for storing and retrieving digital information using rapidly rotating disks (platters) coated with magnetic material.,
HDMI,/,CE,2003,High-Definition Multimedia Interface,"A proprietary audio/video interface for transmitting uncompressed video data and compressed or uncompressed digital audio data from an HDMI-compliant source device, such as a display controller, to a compatible computer monitor, video projector, digital television, or digital audio device.",
HIPAA,/,CE,1996,Health Insurance Portability and Accountability Act,A United States legislation that provides data privacy and security provisions for safeguarding medical information.,
HLR,/,CE,1986,Home Location Register,"A database used for storage and management of subscriptions. The central database for a mobile network, it is the equivalent of a subscriber database. It holds information about each mobile subscriber that belongs to the home GSM network.",
HR,/,CE,1900,Human Resources,"The set of individuals who make up the workforce of an organization, business sector, industry, or economy.",
HRM,/,CE,1900,Human Resource Management,The strategic approach to the effective management of people in a company or organization such that they help their business gain a competitive advantage.,
HTML,/,CE,1993,Hypertext Markup Language,Hardcover Manual Text Layout,
HTML,/,CE,1993,HyperText Markup Language,The standard markup language for documents designed to be displayed in a web browser. It can be assisted by technologies such as Cascading Style Sheets (CSS) and scripting languages such as JavaScript.,
HTTPS,/,CE,1994,Hypertext Transfer Protocol Secure,"An extension of the Hypertext Transfer Protocol. It is used for secure communication over a computer network, and is widely used on the Internet.",
i.e.,/,CE,1600,Id Est,Latin phrase that means 'in other words'. It is used to clarify or simplify a statement.,"That Is, in other words"
