"context","era","defined","name","description"
"/","BCE",~800000,"Humankind","The root context representing humankind, starting from the earliest known use of fire, around 800,000 years ago."
"/mythology","BCE",~2000,"Mythology","A traditional story, especially one concerning the early history of a people or explaining a natural or social phenomenon, and typically involving gods or supernatural beings. Earliest written records of mythology date back to around 2000 BCE."
"/mythology/greek","BCE",~800,"Greek Mythology","The body of myths originally told by the ancient Greeks, and a genre of Ancient Greek folklore. These stories concern the origin and nature of the world, the lives and activities of deities, heroes, and mythological creatures, and the origins and significance of the ancient Greeks' own cult and ritual practices. Greek mythology as we know it became prevalent around 800 BCE with the writings of Homer."
"/mythology/roman","BCE",~800,"Roman Mythology","The body of traditional stories pertaining to ancient Rome's legendary origins and religious system, as represented in the literature and visual arts of the Romans. Roman mythology may also refer to the modern study of these representations, and to the subject matter as represented in the literature and art of other cultures in any period."
"/mythology/norse","CE",~1200,"Norse Mythology","A genre of Old Norse literature, is the body of myths of the North Germanic peoples, stemming from Norse paganism and continuing after the Christianization of Scandinavia, and into the Scandinavian folklore of the modern period."
"/math","BCE",~3000,"Mathematics","The abstract science of number, quantity, and space, either as abstract concepts (pure mathematics), or as applied to other disciplines such as physics and engineering (applied mathematics). The earliest known mathematical records date back to the ancient Sumerians, who built the earliest civilization in Mesopotamia."
"/math/algebra","CE",~800,"Algebra","A branch of mathematics dealing with symbols and the rules for manipulating those symbols. In elementary algebra, those symbols (today written as Latin and Greek letters) represent quantities without fixed values, known as variables. The concept of algebra was first formalized by the Persian mathematician Al-Khwarizmi in the 9th century."
"/math/geometry","BCE",~3000,"Geometry","A branch of mathematics concerned with questions of shape, size, relative position of figures, and the properties of space. The earliest recorded beginnings of geometry can be traced to ancient Mesopotamia and Egypt in the 2nd millennium BCE."
"/math/calculus","CE",~1700,"Calculus","A branch of mathematics that involves derivatives and integrals of functions, and more broadly, the study of change and motion. The modern study of calculus was developed in the 17th century by Isaac Newton and Gottfried Wilhelm Leibniz."
"/science","BCE",~600,"Science","The intellectual and practical activity encompassing the systematic study of the structure and behaviour of the physical and natural world through observation and experiment. The roots of science can be traced back to Ancient Egypt and Mesopotamia in around 3500 to 3000 BCE."
"/science/biology","BCE",~3500,"Biology","The natural science that studies life and living organisms, including their physical structure, chemical processes, molecular interactions, physiological mechanisms, development and evolution. The term biology is derived from the Greek word βίος, bios, 'life' and the suffix -λογία, -logia, 'study of.'"
"/science/biology/theoretical","CE",~1800,"Theoretical Biology","Theoretical biology or mathematical biology is a branch of biology which employs theoretical analysis, mathematical models and abstractions of the living organisms to investigate the principles that govern the structure, development and behavior of the systems, as opposed to experimental biology which deals with the conduction of experiments to prove and validate the scientific theories."
"/science/physics","BCE",~600,"Physics","The natural science that studies matter, its motion and behavior through space and time, and the related entities of energy and force. Physics is one of the most fundamental scientific disciplines, and its main goal is to understand how the universe behaves."
"/science/physics/theoretical","CE",~1900,"Theoretical Physics","Theoretical physics is a branch of physics that employs mathematical models and abstractions of physical objects and systems to rationalize, explain and predict natural phenomena. This is in contrast to experimental physics, which uses experimental tools to probe these phenomena."
